
04/10 10:53:40.640 (+105741) <<17996>>(RTS) CDriver::SimpleReset()
04/10 10:53:40.750 (+  110) <<17996>>(RTS) WRITE: XU;
04/10 10:53:40.755 (+    5) <<17996>>(RTS) READ: DONE;
04/10 10:53:40.755 (+    0) <<17996>>(RTS) ResetVectors()
04/10 10:53:40.755 (+    0) <<17996>>(RTS) ConfigureEx(before batsim adjustment):  NumConvIRequested = 0, NumConvIAvailable = 3, NumI = 3, NumV = 4, NumCurrentOnlyChans = 3, UseLastVAsBat = 0, HasBatterySim = 0, bHasVGens = 1.
04/10 10:53:40.757 (+    2) <<17996>>(RTS) ConfigureEx(after batsim adjustment):  NumConvIRequested = 0, NumConvIAvailable = 3, NumI = 3, NumV = 4, NumCurrentOnlyChans = 3, UseLastVAsBat = 0, HasBatterySim = 0, bHasVGens = 1.
04/10 10:53:40.757 (+    0) <<17996>>(RTS) WRITE: T01CAU,T01HD,T01AD,T02CAU,T02HD,T02AD,T03CAU,T03HD,T03AD,T04CAU,T04HD,T04AD,T05CAU,T05HD,T05AD,T06CAU,T06HD,T06AD,T07CAU,T07HD,T07AD,T08CAU,T08HD,T08AD,T09CAU,T09HD,T09AD,T10CAU,T10HD,T10AD,TR,
04/10 10:53:40.757 (+    0) <<17996>>(RTS) WRITE: OCA:ON,
04/10 10:53:40.898 (+  141) <<17996>>(RTS) WRITE: td2,DISON,HBOFF,HBV:OFF,v1,scale1.000,v2,scale1.000,v3,scale1.000,v4,scale1.000,c1,scale1.000,c2,scale1.000,c3,scale1.000,MAXV0.000000,MAXI0.000000,QHS,
04/10 10:53:40.929 (+   31) <<17996>>(RTS) READ: ACK;
04/10 10:53:41.046 (+  117) <<17996>>(RTS) WRITE: V1,DFLACON,DFLDCON,V2,DFLACON,DFLDCON,V3,DFLACON,DFLDCON,V4,DFLACON,DFLDCON,QHS,
04/10 10:53:41.046 (+    0) <<17996>>(RTS) READ: ACK;
04/10 10:53:41.157 (+  111) <<17996>>(RTS) WRITE: C1,DFLACON,DFLDCON,C2,DFLACON,DFLDCON,C3,DFLACON,DFLDCON;QHS,
04/10 10:53:41.188 (+   31) <<17996>>(RTS) READ: ACK;
